position,bankName,monthlyRate,annualRate
1,SINOSSERRAS/A - SCFI,"0,20","2,40"
2,BCOKOMATSU S.A.,"0,96","12,20"
3,BANCORANDON S.A.,"1,22","15,73"
4,BCOVOLVO BRASIL S.A.,"1,31","16,95"
5,BCODE LAGE LANDEN BRASIL S.A.,"1,45","18,84"
6,BCOCATERPILLAR S.A.,"1,45","18,89"
7,BANCOSICOOB S.A.,"1,48","19,24"
8,BANCOCNH INDUSTRIAL CAPITAL S.A,"1,56","20,34"
9,FINANCALFA S.A. CFI,"1,63","21,36"
10,BCODO ESTADO DO RS S.A.,"1,66","21,91"
11,BCODO EST. DO PA S.A.,"1,67","21,94"
12,BCOBANESTES S.A.,"1,72","22,66"
13,BCOSANTANDER (BRASIL) S.A.,"1,93","25,83"
14,BCOBRADESCO S.A.,"1,93","25,84"
15,TODESCREDIS/A - CFI,"2,05","27,53"
16,BCOVOLKSWAGEN S.A,"2,28","31,09"
17,BCOVOTORANTIM S.A.,"2,30","31,40"
18,AYMORÉCFI S.A.,"2,31","31,50"
19,BCODO BRASIL S.A.,"2,52","34,85"
20,LUIZACREDS.A. SCFI,"2,61","36,28"
21,BCOBRADESCO FINANC. S.A.,"2,78","39,00"
22,BCOSENFF S.A.,"2,99","42,45"
23,HSFINANCEIRA,"3,35","48,42"
24,LEBESFINANCEIRA CFI SA,"3,87","57,79"
25,BECKERFINANCEIRA SA - CFI,"4,05","60,96"
26,CREDIARECFI S.A.,"4,43","68,30"
27,BCOHONDA S.A.,"4,59","71,34"
28,KREDILIGS.A. - CFI,"4,68","73,20"
29,CENTROCREDS.A. CFI,"4,73","74,14"
30,VIACERTA FINANCIADORA S.A. - CFI,"5,87","98,35"
31,GRAZZIOTINFINANCEIRA S/A,"6,00","101,20"
32,BANCOINTER,"6,18","105,38"
33,NEGRESCOS.A. - CFI,"6,95","123,84"
34,GAZINCREDS.A. SCFI,"7,17","129,63"
35,AGORACREDS/A SCFI,"7,31","133,24"
36,BANCOSEMEAR,"7,34","134,03"
37,ZEMACFI S/A,"7,34","134,06"
38,MERCADOCRÉDITO SCFI S.A.,"7,48","137,75"
